Clave de incidencia;ID de la incidencia;Estado;Creada;Actualizada
ESTCORE-261;13700;Backlog;28/jul/20 2:33 PM;28/jul/20 2:33 PM
ESTCORE-191;12947;Analisis;14/jul/20 12:21 PM;28/jul/20 12:50 PM
ESTCORE-213;13068;Selected For Development;15/jul/20 7:00 PM;27/jul/20 6:11 PM
ESTCORE-209;13040;Selected For Development;15/jul/20 4:13 PM;27/jul/20 6:08 PM
ESTCORE-208;13039;Selected For Development;15/jul/20 4:00 PM;27/jul/20 6:00 PM
ESTCORE-154;12383;Bloqueado;07/jul/20 2:58 PM;27/jul/20 1:28 PM
ESTCORE-140;12065;Bloqueado;02/jul/20 4:38 PM;27/jul/20 9:04 AM
ESTCORE-253;13391;Backlog;24/jul/20 5:14 PM;24/jul/20 5:15 PM
ESTCORE-238;13349;Backlog;24/jul/20 12:15 PM;24/jul/20 12:15 PM
ESTCORE-18;10916;En progreso;18/jun/20 4:41 PM;23/jul/20 2:49 PM
ESTCORE-145;12349;Bloqueado;06/jul/20 9:54 AM;22/jul/20 10:04 PM
ESTCORE-234;13229;Selected For Development;22/jul/20 11:38 AM;22/jul/20 9:58 PM
ESTCORE-175;12687;Selected For Development;10/jul/20 6:15 PM;22/jul/20 9:51 PM
ESTCORE-181;12764;Selected For Development;13/jul/20 11:33 AM;22/jul/20 9:51 PM
ESTCORE-189;12775;Selected For Development;13/jul/20 1:12 PM;22/jul/20 9:49 PM
ESTCORE-196;12984;Selected For Development;14/jul/20 8:10 PM;22/jul/20 9:48 PM
ESTCORE-179;12695;Selected For Development;10/jul/20 6:26 PM;22/jul/20 9:47 PM
ESTCORE-178;12694;Selected For Development;10/jul/20 6:23 PM;22/jul/20 9:46 PM
ESTCORE-176;12689;Selected For Development;10/jul/20 6:19 PM;22/jul/20 9:46 PM
ESTCORE-173;12679;Selected For Development;10/jul/20 6:01 PM;22/jul/20 9:45 PM
ESTCORE-167;12619;Selected For Development;10/jul/20 11:49 AM;22/jul/20 9:44 PM
ESTCORE-170;12668;Selected For Development;10/jul/20 5:41 PM;22/jul/20 9:44 PM
ESTCORE-177;12693;Selected For Development;10/jul/20 6:21 PM;22/jul/20 9:42 PM
ESTCORE-228;13093;Selected For Development;16/jul/20 1:41 PM;22/jul/20 4:45 PM
ESTCORE-206;13034;Selected For Development;15/jul/20 1:53 PM;22/jul/20 4:28 PM
ESTCORE-200;13012;Selected For Development;15/jul/20 8:21 AM;22/jul/20 4:28 PM
ESTCORE-199;13011;Selected For Development;15/jul/20 8:19 AM;22/jul/20 4:27 PM
ESTCORE-198;13010;Selected For Development;15/jul/20 8:17 AM;22/jul/20 4:26 PM
ESTCORE-188;12774;Selected For Development;13/jul/20 1:09 PM;22/jul/20 4:26 PM
ESTCORE-201;13013;Selected For Development;15/jul/20 8:26 AM;22/jul/20 4:26 PM
ESTCORE-158;12427;Selected For Development;09/jul/20 8:27 AM;15/jul/20 9:30 AM
ESTCORE-168;12637;Selected For Development;10/jul/20 2:14 PM;15/jul/20 8:43 AM
ESTCORE-156;12423;Selected For Development;08/jul/20 6:27 PM;15/jul/20 8:39 AM
ESTCORE-155;12386;Selected For Development;07/jul/20 4:58 PM;15/jul/20 8:39 AM
ESTCORE-152;12371;Selected For Development;07/jul/20 8:20 AM;15/jul/20 8:38 AM
ESTCORE-149;12365;Selected For Development;06/jul/20 1:06 PM;15/jul/20 8:36 AM
ESTCORE-148;12364;Selected For Development;06/jul/20 1:01 PM;15/jul/20 8:36 AM
ESTCORE-144;12198;Selected For Development;03/jul/20 4:09 PM;15/jul/20 8:33 AM
ESTCORE-142;12176;Selected For Development;03/jul/20 1:31 PM;15/jul/20 8:32 AM
ESTCORE-136;11903;Selected For Development;01/jul/20 8:05 AM;15/jul/20 8:30 AM
ESTCORE-132;11882;Selected For Development;30/jun/20 6:17 PM;15/jul/20 8:29 AM
ESTCORE-127;11877;Selected For Development;30/jun/20 5:57 PM;15/jul/20 8:28 AM
ESTCORE-126;11876;Selected For Development;30/jun/20 5:55 PM;15/jul/20 8:27 AM
ESTCORE-125;11875;Selected For Development;30/jun/20 5:52 PM;15/jul/20 8:27 AM
ESTCORE-122;11871;Selected For Development;30/jun/20 4:53 PM;14/jul/20 5:59 PM
ESTCORE-119;11820;Selected For Development;30/jun/20 10:12 AM;14/jul/20 5:58 PM
ESTCORE-118;11819;Selected For Development;30/jun/20 10:05 AM;14/jul/20 5:57 PM
ESTCORE-117;11818;Selected For Development;30/jun/20 10:04 AM;14/jul/20 5:56 PM
ESTCORE-116;11817;Selected For Development;30/jun/20 10:02 AM;14/jul/20 5:55 PM
ESTCORE-115;11816;Selected For Development;30/jun/20 10:01 AM;14/jul/20 5:55 PM
ESTCORE-112;11666;Selected For Development;26/jun/20 11:12 AM;14/jul/20 5:54 PM
ESTCORE-111;11665;Selected For Development;26/jun/20 11:11 AM;14/jul/20 5:53 PM
ESTCORE-107;11637;Selected For Development;25/jun/20 5:45 PM;14/jul/20 5:52 PM
ESTCORE-105;11635;Selected For Development;25/jun/20 5:42 PM;14/jul/20 5:52 PM
ESTCORE-104;11634;Selected For Development;25/jun/20 5:40 PM;14/jul/20 5:51 PM
ESTCORE-101;11631;Selected For Development;25/jun/20 5:30 PM;14/jul/20 5:45 PM
ESTCORE-100;11630;Selected For Development;25/jun/20 5:28 PM;14/jul/20 5:44 PM
ESTCORE-99;11629;Selected For Development;25/jun/20 5:26 PM;14/jul/20 5:44 PM
ESTCORE-90;11601;Selected For Development;25/jun/20 2:19 PM;14/jul/20 5:41 PM
ESTCORE-89;11598;Selected For Development;25/jun/20 2:16 PM;14/jul/20 5:40 PM
ESTCORE-75;11542;Selected For Development;25/jun/20 9:28 AM;14/jul/20 5:37 PM
ESTCORE-74;11541;Selected For Development;25/jun/20 9:27 AM;14/jul/20 5:36 PM
ESTCORE-73;11540;Selected For Development;25/jun/20 9:23 AM;14/jul/20 5:35 PM
ESTCORE-69;11536;Selected For Development;25/jun/20 9:12 AM;14/jul/20 5:31 PM
ESTCORE-67;11495;Selected For Development;24/jun/20 1:48 PM;14/jul/20 5:30 PM
ESTCORE-65;11457;Selected For Development;23/jun/20 6:36 PM;14/jul/20 5:28 PM
ESTCORE-64;11456;Selected For Development;23/jun/20 6:32 PM;14/jul/20 5:27 PM
ESTCORE-63;11452;Selected For Development;23/jun/20 6:25 PM;14/jul/20 5:26 PM
ESTCORE-57;11382;Selected For Development;23/jun/20 2:26 PM;14/jul/20 5:24 PM
ESTCORE-56;11379;Selected For Development;23/jun/20 2:22 PM;14/jul/20 5:23 PM
ESTCORE-55;11377;Selected For Development;23/jun/20 2:20 PM;14/jul/20 5:19 PM
ESTCORE-53;11375;Selected For Development;23/jun/20 2:11 PM;14/jul/20 5:17 PM
ESTCORE-47;11362;Selected For Development;23/jun/20 1:28 PM;14/jul/20 5:14 PM
ESTCORE-46;11359;Selected For Development;23/jun/20 1:25 PM;14/jul/20 5:12 PM
ESTCORE-45;11320;Selected For Development;23/jun/20 10:59 AM;14/jul/20 5:11 PM
ESTCORE-15;10687;Selected For Development;17/jun/20 3:05 PM;14/jul/20 4:58 PM
